#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
20	Read, Ethan	7	45	26	34	79	11.29	9	5	16	12	2	7	4	28	7	12	 	32	48	6	11	13	 	2	80.4	 
5	Davies, Alex	4	23	3	48	71	17.75	2	4	 	20	4	13	10	12	5	5	 	40	32	 	 	6	 	1	59.5	 
19	Humphrey, Bailey	4	37	15	22	59	14.75	6	7	 	15	1	19	5	14	5	7	 	28	33	2	10	4	 	5	78.0	 
34	King, Ben	7	40	27	12	52	7.43	26	6	 	1	 	4	1	11	5	6	 	20	35	6	23	6	 	1	88.1	 
29	Rogers, Jake	5	21	7	28	49	9.80	3	 	 	12	1	7	3	7	3	2	 	21	31	 	 	3	1	5	61.8	 
10	Ballard, Charlie	4	26	16	14	40	10.00	 	 	 	3	6	1	 	4	3	2	 	15	25	6	 	10	 	 	73.5	 
4	Walter, Jed	4	26	14	9	35	8.75	6	3	7	2	1	8	1	11	6	5	 	20	13	7	7	8	 	1	62.0	 
48	Adams, Oscar	4	8	10	25	33	8.25	 	 	 	5	2	2	 	4	3	1	 	12	22	 	 	15	 	 	75.3	 
39	Gulbin, Lachlan	2	14	8	14	28	14.00	1	 	 	4	 	6	 	6	1	 	 	14	17	 	1	3	 	3	71.5	 
50	Farrar, Jy	2	6	4	8	14	7.00	1	1	 	4	 	2	 	4	1	1	 	5	9	 	2	2	 	2	63.0	 
9	Ugle-Hagan, Jamarra	1	6	5	1	7	7.00	1	 	 	1	 	3	 	4	1	 	 	2	4	1	2	 	 	1	69.0	 
29 players used	1372	574	1204	2576	16.00	107	69	294	393	259	413	234	416	129	154	 	907	1606	51	96	292	68	84	 	 
[Top]
Greater Western Sydney [Players Game by Game][Team Game by Game]
#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
10	Oliver, Clayton	7	71	21	145	216	30.86	2	3	 	28	18	23	50	22	5	10	 	104	109	2	1	6	 	2	80.9	 
7	Ash, Lachie	7	145	59	67	212	30.29	 	2	 	11	46	22	7	28	6	4	 	33	159	1	1	8	16	2	81.6	 
6	Whitfield, Lachie	7	119	45	92	211	30.14	 	 	 	17	30	21	4	22	2	10	 	37	140	1	 	12	1	4	81.3	 
17	Callaghan, Finn	7	92	23	112	204	29.14	3	2	 	24	18	37	27	35	5	10	 	63	144	2	1	6	7	1	79.7	 
4	Greene, Toby	7	105	23	67	172	24.57	5	9	 	18	11	45	28	41	8	13	 	75	105	2	5	11	1	6	81.0	 
1	Thomas, Harvey	7	73	26	72	145	20.71	3	3	 	23	13	21	11	13	5	7	 	52	94	1	3	14	2	2	84.1	 
39	Idun, Connor	7	67	40	69	136	19.43	 	 	 	10	30	3	3	12	4	3	 	43	88	4	 	28	3	 	97.9	 
9	Angwin, Ryan	7	60	23	67	127	18.14	3	1	 	21	8	20	8	14	3	5	 	39	89	1	 	14	2	2	84.3	 
27	Himmelberg, Harry	7	60	33	58	118	16.86	 	 	 	11	17	13	3	20	1	6	 	30	80	2	 	30	2	 	81.7	 
25	Laverde, Jayden	7	74	49	41	115	16.43	 	 	 	12	23	4	1	15	2	9	 	29	81	6	 	38	 	 	88.9	 
37	Fonti, Joe	6	62	41	46	108	18.00	 	 	 	20	23	8	4	17	5	7	 	30	78	3	 	23	5	1	83.0	 
11	Gothard, Phoenix	7	55	17	53	108	15.43	8	6	 	23	1	19	12	15	10	7	 	39	71	 	6	6	4	5	74.7	 
33	OHalloran, Xavier	7	55	22	49	104	14.86	2	4	 	14	9	22	10	20	1	3	 	39	61	 	1	7	1	5	74.3	 
